CustomerID,Nationality,Occupation,PEP_Status,RiskRating,IncomeSource,AnnualIncome,AccountOpeningMethod,IdentificationUsed,AccountNumber
30000065,Indian,GAMING -CASINOS,No,High,Investment,7728000.0,ONLINE ACCOUNT,CITIZENSHIP,00237475341
30000066,Indian,FARMER,No,Low,Remittance,1085000.0,REFERRAL,CITIZENSHIP,00250743361
30000067,Other,ANY ARTIST (ART/CRAFTPERSONS),No,High,Investment,831000.0,OFFLINE,CITIZENSHIP,00572171472
30000068,Indian,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Salary,5746000.0,MAIL,PASSPORT,00487131462
30000069,Other,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Investment,3654000.0,REFERRAL,ADHAR CARD,00587992872
30000070,Nepali,ANY ATTORNEY/ LAWYER,No,Medium,Investment,4688000.0,MAIL,ADHAR CARD,00487965141
30000071,Nepali,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Investment,3032000.0,REFERRAL,ADHAR CARD,00245587802
30000072,Indian,GAMING -CASINOS,No,High,Other,2158000.0,MAIL,NRN ID,00124363471
30000073,Other,CASINOS,No,High,Remittance,1017000.0,WALKIN CUSTOMER,NRN ID,00412892932
30000074,Other,CASINOS,No,High,Investment,4562000.0,OFFLINE,NRN ID,00589399932
30000075,Other,GOVT. LEGISLATOR,Yes,High,Investment,2661000.0,WALKIN CUSTOMER,CITIZENSHIP,00355452232
30000076,Other,REAL ESTATE BUSINESS,No,High,Investment,1966000.0,SWIFT,ADHAR CARD,00142135241
30000077,Other,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Other,2581000.0,OFFLINE,PASSPORT,00342567521
30000078,Indian,ANY ACCOUNTANT,No,High,Other,7802000.0,REFERRAL,PASSPORT,00217636262
30000079,Other,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Salary,3986000.0,OFFLINE,PASSPORT,00188751732
30000080,Nepali,GAMING -CASINOS,No,High,Remittance,4086000.0,SOCIAL MEDIA,PASSPORT,00177227551
30000081,Nepali,ENGINEER,No,Low,Salary,4969000.0,WALKIN CUSTOMER,NRN ID,00279822411
30000082,Indian,RETIRED,No,Low,Investment,4678000.0,SOCIAL MEDIA,CITIZENSHIP,00561234302
30000083,Nepali,REAL ESTATE BUSINESS,No,High,Investment,1638000.0,ONLINE ACCOUNT,PASSPORT,00150242691
30000084,Nepali,STUDENT,No,Low,Remittance,551000.0,REFERRAL,ADHAR CARD,00558865202
30000085,Other,RETIRED,No,Low,Salary,3574000.0,WALKIN CUSTOMER,PASSPORT,00243188552
30000086,Indian,GOVT. JUDGE,Yes,High,Salary,4882000.0,REFERRAL,NRN ID,00161608691
30000087,Nepali,RETIRED,No,Low,Investment,4458000.0,SWIFT,CITIZENSHIP,00493965292
30000088,Other,ANY ARTIST (ART/CRAFTPERSONS),No,High,Remittance,1003000.0,SOCIAL MEDIA,ADHAR CARD,00314339402
30000089,Other,ANY ARTIST (ART/CRAFTPERSONS),No,High,Business,1697000.0,MAIL,NRN ID,00456666922
30000090,Nepali,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Investment,5460000.0,EVENTS AND EXHIBITION,ADHAR CARD,00463864632
30000091,Indian,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Investment,978000.0,REFERRAL,ADHAR CARD,00486307121
30000092,Nepali,FARMER,No,Low,Other,717000.0,OFFLINE,NRN ID,00179331432
30000093,Other,RETIRED,No,Low,Salary,7443000.0,SWIFT,NRN ID,00231980372
30000094,Nepali,ANY ACCOUNTANT,No,High,Other,4541000.0,MAIL,CITIZENSHIP,00262135221
30000095,Nepali,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Remittance,7481000.0,REFERRAL,ADHAR CARD,00193613531
30000096,Indian,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Remittance,3254000.0,EVENTS AND EXHIBITION,CITIZENSHIP,00234266892
30000097,Indian,STUDENT,No,Low,Investment,2478000.0,REFERRAL,NRN ID,00510430372
30000098,Nepali,RETIRED,No,Low,Other,4550000.0,MAIL,NRN ID,00465774162
30000099,Indian,REAL ESTATE BUSINESS,No,High,Business,6891000.0,MAIL,CITIZENSHIP,00549185272
30000100,Indian,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Remittance,7729000.0,EVENTS AND EXHIBITION,ADHAR CARD,00493102351
30000101,Nepali,RETIRED,No,Low,Salary,5863000.0,MAIL,PASSPORT,00512574892
30000102,Nepali,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Investment,6859000.0,MAIL,ADHAR CARD,00323474672
30000103,Other,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Other,5160000.0,REFERRAL,PASSPORT,00149387911
30000104,Other,ANY ATTORNEY/ LAWYER,No,Medium,Remittance,1581000.0,REFERRAL,CITIZENSHIP,00184436901
30000105,Nepali,DOCTOR,No,Low,Salary,3616000.0,WALKIN CUSTOMER,NRN ID,00372887892
30000106,Other,SELF EMPLOYED JEWELERS,No,High,Business,5072000.0,WALKIN CUSTOMER,NRN ID,00274180281
30000107,Other,GOVT. JUDGE,Yes,High,Business,2266000.0,SOCIAL MEDIA,NRN ID,00487103132
30000108,Indian,GOVT. LEGISLATOR,Yes,High,Business,7905000.0,REFERRAL,NRN ID,00167976292
30000109,Other,GAMING -CASINOS,No,High,Remittance,6871000.0,ONLINE ACCOUNT,PASSPORT,00374540811
30000110,Indian,TEACHER,No,Low,Other,7830000.0,MAIL,ADHAR CARD,00313680852
30000111,Nepali,ANY ARTIST (ART/CRAFTPERSONS),No,High,Other,4974000.0,OFFLINE,PASSPORT,00448607452
30000112,Other,REAL ESTATE BUSINESS,No,High,Other,7256000.0,SOCIAL MEDIA,ADHAR CARD,00326301401
30000113,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Other,7304000.0,OFFLINE,NRN ID,00325121871
30000114,Nepali,REAL ESTATE BUSINESS,No,High,Business,4164000.0,REFERRAL,PASSPORT,00599062242
30000115,Indian,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Investment,7714000.0,EVENTS AND EXHIBITION,PASSPORT,00388572961
30000116,Other,FARMER,No,Low,Other,407000.0,ONLINE ACCOUNT,NRN ID,00376198621
30000117,Indian,GAMING -CASINOS,No,High,Other,5496000.0,SWIFT,CITIZENSHIP,00428177452
30000118,Other,GOVT. LEGISLATOR,Yes,High,Investment,5193000.0,SWIFT,ADHAR CARD,00520606051
30000119,Other,STUDENT,No,Low,Salary,2644000.0,SWIFT,CITIZENSHIP,00216243151
30000120,Nepali,CASINOS,No,High,Other,3157000.0,MAIL,PASSPORT,00286108792
30000121,Indian,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Remittance,552000.0,OFFLINE,PASSPORT,00556932602
30000122,Indian,RETIRED,No,Low,Business,4492000.0,OFFLINE,CITIZENSHIP,00371628571
30000123,Indian,GAMING -CASINOS,No,High,Business,5403000.0,SOCIAL MEDIA,CITIZENSHIP,00125380242
30000124,Indian,CASINOS,No,High,Business,6690000.0,WALKIN CUSTOMER,PASSPORT,00521510871
30000125,Nepali,DOCTOR,No,Low,Business,6910000.0,EVENTS AND EXHIBITION,PASSPORT,00556518991
30000126,Other,GAMING -CASINOS,No,High,Business,414000.0,WALKIN CUSTOMER,ADHAR CARD,00132112911
30000127,Nepali,SELF EMPLOYED JEWELERS,No,High,Investment,4351000.0,ONLINE ACCOUNT,NRN ID,00180625461
30000128,Indian,TEACHER,No,Low,Other,4180000.0,SOCIAL MEDIA,ADHAR CARD,00585833921
30000129,Indian,ANY ACCOUNTANT,No,High,Salary,5583000.0,SWIFT,NRN ID,00481516842
30000130,Nepali,ANY ATTORNEY/ LAWYER,No,Medium,Investment,1272000.0,OFFLINE,NRN ID,00521019651
30000131,Other,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Investment,6407000.0,ONLINE ACCOUNT,PASSPORT,00426639382
30000132,Indian,RETIRED,No,Low,Business,3370000.0,ONLINE ACCOUNT,ADHAR CARD,00486084492
30000133,Indian,DOCTOR,No,Low,Investment,817000.0,ONLINE ACCOUNT,CITIZENSHIP,00389568941
30000134,Indian,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Investment,5459000.0,MAIL,ADHAR CARD,00265305411
30000135,Other,STUDENT,No,Low,Salary,1098000.0,WALKIN CUSTOMER,PASSPORT,00368996442
30000136,Other,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Business,1185000.0,REFERRAL,PASSPORT,00171666512
30000137,Indian,GOVT. LEGISLATOR,Yes,High,Other,523000.0,REFERRAL,ADHAR CARD,00554870281
30000138,Indian,TEACHER,No,Low,Salary,836000.0,SOCIAL MEDIA,CITIZENSHIP,00277240451
30000139,Other,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Business,2925000.0,OFFLINE,ADHAR CARD,00486109132
30000140,Other,DOCTOR,No,Low,Other,1498000.0,SOCIAL MEDIA,CITIZENSHIP,00518826291
30000141,Indian,RETIRED,No,Low,Remittance,2403000.0,ONLINE ACCOUNT,ADHAR CARD,00479488502
30000142,Indian,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Investment,5437000.0,SOCIAL MEDIA,PASSPORT,00598404872
30000143,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Salary,6209000.0,REFERRAL,ADHAR CARD,00245439182
30000144,Indian,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Salary,1295000.0,WALKIN CUSTOMER,ADHAR CARD,00439476692
30000145,Nepali,FARMER,No,Low,Salary,7393000.0,OFFLINE,NRN ID,00487133961
30000146,Other,FARMER,No,Low,Remittance,461000.0,OFFLINE,PASSPORT,00377953141
30000147,Other,RETIRED,No,Low,Investment,2174000.0,MAIL,CITIZENSHIP,00127760882
30000148,Indian,ENGINEER,No,Low,Investment,888000.0,ONLINE ACCOUNT,PASSPORT,00238207982
30000149,Indian,TEACHER,No,Low,Business,2271000.0,EVENTS AND EXHIBITION,PASSPORT,00234569261
30000150,Other,ANY ATTORNEY/ LAWYER,No,Medium,Business,5545000.0,OFFLINE,ADHAR CARD,00485313802
30000151,Nepali,RETIRED,No,Low,Salary,6432000.0,SOCIAL MEDIA,ADHAR CARD,00460804832
30000152,Other,ANY ATTORNEY/ LAWYER,No,Medium,Investment,738000.0,REFERRAL,CITIZENSHIP,00416309442
30000153,Other,ANY ATTORNEY/ LAWYER,No,Medium,Other,4769000.0,SOCIAL MEDIA,NRN ID,00587630132
30000154,Other,REAL ESTATE BUSINESS,No,High,Investment,1462000.0,SOCIAL MEDIA,NRN ID,00594115472
30000155,Nepali,DOCTOR,No,Low,Salary,2208000.0,SWIFT,NRN ID,00516566951
30000156,Other,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Other,7368000.0,MAIL,NRN ID,00272554182
30000157,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Investment,4596000.0,MAIL,ADHAR CARD,00125855462
30000158,Indian,GOVT. JUDGE,Yes,High,Investment,2689000.0,MAIL,PASSPORT,00168690181
30000159,Other,ANY ATTORNEY/ LAWYER,No,Medium,Investment,6562000.0,ONLINE ACCOUNT,NRN ID,00565109222
30000160,Other,TEACHER,No,Low,Salary,7624000.0,OFFLINE,NRN ID,00340243092
30000161,Nepali,CASINOS,No,High,Business,6802000.0,ONLINE ACCOUNT,CITIZENSHIP,00259625671
30000162,Other,DOCTOR,No,Low,Other,1549000.0,EVENTS AND EXHIBITION,NRN ID,00235879312
30000163,Nepali,STUDENT,No,Low,Investment,6093000.0,SWIFT,PASSPORT,00257802972
30000164,Other,CASINOS,No,High,Investment,5523000.0,SWIFT,NRN ID,00471713471
30000165,Indian,FARMER,No,Low,Other,6590000.0,EVENTS AND EXHIBITION,ADHAR CARD,00537188842
30000166,Nepali,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Investment,6854000.0,REFERRAL,CITIZENSHIP,00596555231
30000167,Nepali,GAMING -CASINOS,No,High,Remittance,1006000.0,WALKIN CUSTOMER,NRN ID,00583395711
30000168,Indian,ANY ACCOUNTANT,No,High,Remittance,3180000.0,MAIL,CITIZENSHIP,00194222812
30000169,Indian,CASINOS,No,High,Salary,6394000.0,EVENTS AND EXHIBITION,CITIZENSHIP,00366252381
30000170,Indian,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Business,7275000.0,SOCIAL MEDIA,ADHAR CARD,00410881002
30000171,Nepali,GOVT. JUDGE,Yes,High,Other,6277000.0,WALKIN CUSTOMER,ADHAR CARD,00528654052
30000172,Nepali,ANY ARTIST (ART/CRAFTPERSONS),No,High,Business,1154000.0,SWIFT,CITIZENSHIP,00420537292
30000173,Other,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Other,3605000.0,OFFLINE,PASSPORT,00258867331
30000174,Other,STUDENT,No,Low,Business,7641000.0,SOCIAL MEDIA,NRN ID,00121354702
30000175,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Remittance,3050000.0,ONLINE ACCOUNT,ADHAR CARD,00312724992
30000176,Nepali,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Other,3013000.0,OFFLINE,PASSPORT,00317438291
30000177,Other,RETIRED,No,Low,Remittance,5814000.0,SWIFT,CITIZENSHIP,00220586511
30000178,Indian,REAL ESTATE BUSINESS,No,High,Salary,7487000.0,MAIL,NRN ID,00262948191
30000179,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Business,6967000.0,OFFLINE,ADHAR CARD,00318020182
30000180,Nepali,TEACHER,No,Low,Remittance,2911000.0,EVENTS AND EXHIBITION,NRN ID,00474868222
30000181,Other,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Investment,5899000.0,ONLINE ACCOUNT,NRN ID,00523859912
30000182,Other,SELF EMPLOYED JEWELERS,No,High,Other,917000.0,REFERRAL,ADHAR CARD,00327213072
30000183,Indian,STUDENT,No,Low,Business,626000.0,OFFLINE,NRN ID,00485015902
30000184,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Salary,6468000.0,EVENTS AND EXHIBITION,CITIZENSHIP,00496081542
30000185,Nepali,RETIRED,No,Low,Salary,6295000.0,OFFLINE,ADHAR CARD,00249593451
30000186,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Other,3165000.0,ONLINE ACCOUNT,PASSPORT,00272237512
30000187,Other,TEACHER,No,Low,Remittance,7696000.0,SOCIAL MEDIA,PASSPORT,00351877882
30000188,Indian,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Remittance,6267000.0,SWIFT,PASSPORT,00553918831
30000189,Other,ENGINEER,No,Low,Remittance,6867000.0,SWIFT,PASSPORT,00232771441
30000190,Other,RETIRED,No,Low,Salary,4535000.0,REFERRAL,ADHAR CARD,00320894962
30000191,Nepali,SELF EMPLOYED JEWELERS,No,High,Investment,7886000.0,EVENTS AND EXHIBITION,PASSPORT,00530361241
30000192,Indian,ANY ACCOUNTANT,No,High,Investment,6488000.0,EVENTS AND EXHIBITION,CITIZENSHIP,00588417682
30000193,Nepali,ENGINEER,No,Low,Remittance,6640000.0,ONLINE ACCOUNT,PASSPORT,00478691542
30000194,Indian,ANY ATTORNEY/ LAWYER,No,Medium,Remittance,7060000.0,EVENTS AND EXHIBITION,PASSPORT,00431530972
30000195,Indian,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Salary,1568000.0,OFFLINE,PASSPORT,00161023631
30000196,Indian,GOVT. ARMY (CAPTAIN AND ABOVE),Yes,High,Investment,5190000.0,REFERRAL,PASSPORT,00142933992
30000197,Other,ENGINEER,No,Low,Other,5236000.0,EVENTS AND EXHIBITION,PASSPORT,00594317781
30000198,Other,DOCTOR,No,Low,Other,650000.0,REFERRAL,PASSPORT,00123626931
30000199,Other,STUDENT,No,Low,Other,5243000.0,REFERRAL,NRN ID,00158598832
30000200,Nepali,FARMER,No,Low,Investment,1517000.0,MAIL,NRN ID,00420051731
30000201,Indian,REAL ESTATE BUSINESS,No,High,Investment,6933000.0,OFFLINE,ADHAR CARD,00562442641
30000202,Indian,GOVT. JUDGE,Yes,High,Investment,2161000.0,ONLINE ACCOUNT,ADHAR CARD,00563538761
30000203,Indian,CASINOS,No,High,Business,7579000.0,MAIL,PASSPORT,00158689491
30000204,Nepali,DOCTOR,No,Low,Other,4137000.0,SWIFT,NRN ID,00336733221
30000205,Indian,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Salary,3821000.0,WALKIN CUSTOMER,PASSPORT,00194799502
30000206,Other,TEACHER,No,Low,Salary,4901000.0,SWIFT,ADHAR CARD,00193029462
30000207,Other,ANY ACCOUNTANT,No,High,Salary,5902000.0,MAIL,ADHAR CARD,00454371181
30000208,Nepali,FARMER,No,Low,Salary,4560000.0,ONLINE ACCOUNT,NRN ID,00570821391
30000209,Other,RETIRED,No,Low,Other,7808000.0,MAIL,ADHAR CARD,00331586131
30000210,Indian,GOVT. LEGISLATOR,Yes,High,Investment,3391000.0,SOCIAL MEDIA,CITIZENSHIP,00295416581
30000211,Nepali,GOVT. JUDGE,Yes,High,Investment,4968000.0,EVENTS AND EXHIBITION,ADHAR CARD,00434988092
30000212,Other,DOCTOR,No,Low,Business,4206000.0,SWIFT,ADHAR CARD,00466434102
30000213,Indian,ANY ACCOUNTANT,No,High,Investment,4795000.0,SOCIAL MEDIA,NRN ID,00379883861
30000214,Indian,CASINOS,No,High,Salary,4337000.0,MAIL,PASSPORT,00538607172
30000215,Other,CASINOS,No,High,Salary,446000.0,OFFLINE,NRN ID,00542008291
30000216,Nepali,STUDENT,No,Low,Business,5734000.0,WALKIN CUSTOMER,ADHAR CARD,00420449062
30000217,Other,SELF EMPLOYED LEGAL PROFESS/CONSULTANTS,No,High,Other,3839000.0,OFFLINE,ADHAR CARD,00439055182
30000218,Other,GAMING -CASINOS,No,High,Other,2448000.0,REFERRAL,PASSPORT,00451359041
30000219,Indian,ENGINEER,No,Low,Business,2986000.0,REFERRAL,ADHAR CARD,00490497652
30000220,Nepali,GOVT. LEGISLATOR,Yes,High,Remittance,2536000.0,REFERRAL,CITIZENSHIP,00434574612
30000221,Indian,RETIRED,No,Low,Investment,6675000.0,REFERRAL,ADHAR CARD,00443901381
30000222,Nepali,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Other,691000.0,WALKIN CUSTOMER,PASSPORT,00550677701
30000223,Nepali,GOVT. OFFICIAL (OFFICER TO BELOW SECRETARY ),Yes,High,Remittance,5545000.0,EVENTS AND EXHIBITION,CITIZENSHIP,00326868632
30000224,Other,SELF EMPLOYED JEWELERS,No,High,Remittance,6121000.0,REFERRAL,ADHAR CARD,00443463152
30000225,Indian,ANY ARTIST (ART/CRAFTPERSONS),No,High,Salary,5988000.0,SOCIAL MEDIA,PASSPORT,00599783651
30000226,Indian,SELF EMPLOYED JEWELERS,No,High,Salary,7512000.0,REFERRAL,CITIZENSHIP,00441257902
30000227,Nepali,ENGINEER,No,Low,Other,2491000.0,SWIFT,PASSPORT,00566210731
30000228,Other,RETIRED,No,Low,Investment,1551000.0,SWIFT,ADHAR CARD,00265479581
30000229,Other,SELF EMPLOYED JEWELERS,No,High,Salary,1651000.0,MAIL,NRN ID,00342407082
30000230,Other,DOCTOR,No,Low,Salary,7859000.0,SWIFT,ADHAR CARD,00441001141
30000231,Nepali,ANY ACCOUNTANT,No,High,Investment,6104000.0,OFFLINE,ADHAR CARD,00484949781
30000232,Other,ANY ACCOUNTANT,No,High,Investment,5442000.0,SWIFT,ADHAR CARD,00320422731
30000233,Nepali,FARMER,No,Low,Other,3130000.0,WALKIN CUSTOMER,PASSPORT,00359499091
