TransactionID,Amount,Date,Time,SenderAccount,ReceiverAccount,Country,TransactionType,Currency,Channel,IsSuspicious
TX91,268235.22,2025-01-25,08:15:47,00322238841,00498137292,India,Deposit,NPR,Online,0
TX92,613603.45,2024-10-29,08:17:28,00516378051,00273956991,Russia,Deposit,NPR,Online,0
TX93,760864.31,2025-05-25,04:48:34,00411105212,00420449062,Nepal,Transfer,NPR,Branch,0
TX94,651758.4,2024-08-07,06:22:02,00245068782,00437445812,Nepal,Cash Withdrawal,NPR,ATM,0
TX95,812205.22,2024-11-16,05:27:20,00239448851,00528307132,Russia,Cash Withdrawal,NPR,ATM,0
TX96,836734.4,2025-03-17,04:08:29,00578744902,00562353381,Nepal,Cash Withdrawal,NPR,ATM,0
TX97,555048.26,2025-03-02,08:46:41,00283636321,00393207941,China,Cash Withdrawal,NPR,ATM,0
TX98,555125.09,2025-06-23,06:07:53,00124800142,00394746142,Nepal,Transfer,NPR,ATM,0
TX99,247888.55,2025-01-01,13:43:25,00127948482,00296809461,Pakistan,Deposit,NPR,Branch,0
TX100,468560.24,2025-03-15,16:29:49,00326944212,00166132351,Nepal,Deposit,NPR,Online,0
TX101,514690.0,2025-06-29,09:26:35,00121851122,00481905222,Nepal,Transfer,NPR,Online,0
TX102,344416.88,2025-06-24,09:22:15,00597009732,00383312982,USA,Transfer,NPR,ATM,0
TX103,676216.6,2024-08-26,07:44:54,00156214841,00596516842,Nepal,Cash Withdrawal,NPR,Online,0
TX104,11305.54,2025-04-07,13:46:11,00391714461,00483159062,Pakistan,Deposit,NPR,Online,0
TX105,832897.54,2024-11-24,13:47:17,00386335311,00232763901,India,Deposit,NPR,Online,0
TX106,35419.85,2025-05-19,17:04:39,00413509451,00248919302,Pakistan,Transfer,NPR,ATM,0
TX107,771393.47,2024-08-03,05:43:37,00477781011,00187195521,China,Cash Withdrawal,NPR,Online,0
TX108,489037.33,2025-02-09,04:39:48,00521510871,00134122402,Pakistan,Deposit,NPR,Online,0
TX109,227074.32,2024-10-11,17:12:58,00228249192,00358986712,India,Cash Withdrawal,NPR,Branch,0
TX110,637382.89,2025-05-07,16:08:47,00395144262,00299358071,Pakistan,Cash Withdrawal,NPR,ATM,0
TX111,581717.32,2025-04-26,15:18:13,00321652461,00511210971,India,Transfer,NPR,Branch,0
TX112,844614.0,2024-10-29,04:35:06,00593595052,00372887892,Russia,Deposit,NPR,Online,0
TX113,354060.11,2025-01-31,04:01:32,00395677251,00193670011,Nepal,Cash Withdrawal,NPR,ATM,0
TX114,936213.14,2024-10-12,16:59:33,00576756302,00548068251,Russia,Transfer,NPR,ATM,0
TX115,889638.44,2025-04-18,08:54:20,00510447722,00270077022,Nepal,Deposit,NPR,Online,0
TX116,470877.27,2024-10-06,03:40:00,00546414002,00522466461,USA,Deposit,NPR,Branch,0
TX117,771729.97,2025-01-23,19:17:35,00564971192,00270077022,USA,Cash Withdrawal,NPR,Branch,0
TX118,424668.17,2024-10-31,07:55:27,00392844251,00126268192,Nepal,Deposit,NPR,ATM,0
TX119,563239.86,2024-12-31,13:35:50,00253212711,00124791122,Russia,Deposit,NPR,Online,0
TX120,716025.04,2024-09-18,22:09:48,00178154241,00274706481,Nepal,Transfer,NPR,Online,0
TX121,489078.48,2025-01-21,12:33:46,00372667751,00444379371,Pakistan,Transfer,NPR,Online,0
TX122,666809.65,2025-05-19,04:14:21,00474221442,00526407512,Nepal,Cash Withdrawal,NPR,Online,0
TX123,764813.01,2025-04-28,22:42:47,00398343292,00326941002,USA,Transfer,NPR,Branch,0
TX124,308260.34,2025-05-30,11:12:33,00281125812,00266688622,Russia,Cash Withdrawal,NPR,Online,0
TX125,150398.09,2024-11-07,15:46:33,00418619872,00349473581,Russia,Deposit,NPR,Branch,0
TX126,85941.0,2024-12-20,02:39:12,00464229082,00399325811,Russia,Deposit,NPR,Branch,0
TX127,810368.73,2025-03-09,10:38:19,00124646041,00321162861,Pakistan,Transfer,NPR,Branch,0
TX128,792460.58,2025-04-17,16:37:57,00411105212,00354286422,Nepal,Deposit,NPR,Online,0
TX129,865711.45,2024-12-30,11:16:46,00461927072,00217588981,China,Deposit,NPR,ATM,0
TX130,728913.42,2024-09-16,19:20:27,00426082012,00350931142,China,Cash Withdrawal,NPR,Online,0
TX131,67475.81,2024-07-30,15:45:12,00235543122,00225620371,Nepal,Deposit,NPR,Online,0
TX132,287314.05,2024-08-01,09:10:34,00551576011,00274686931,Russia,Cash Withdrawal,NPR,Online,0
TX133,749636.58,2024-10-10,05:09:27,00542586081,00559182842,Nepal,Cash Withdrawal,NPR,Online,0
TX134,108742.06,2024-10-19,05:08:40,00497057161,00557760852,Russia,Cash Withdrawal,NPR,ATM,0
TX135,445289.69,2024-09-17,20:11:59,00481905222,00454371181,Pakistan,Cash Withdrawal,NPR,ATM,0
TX136,733012.53,2024-10-21,03:08:10,00187737411,00376833641,USA,Transfer,NPR,ATM,0
TX137,793522.18,2024-08-18,19:40:48,00181014571,00263880391,Nepal,Cash Withdrawal,NPR,ATM,0
TX138,64304.63,2025-02-10,19:48:14,00254002562,00349765001,Pakistan,Cash Withdrawal,NPR,Online,0
TX139,592494.22,2024-09-30,22:16:47,00145383231,00385433482,China,Cash Withdrawal,NPR,ATM,0
TX140,13892.82,2025-03-25,20:44:25,00548813491,00516566951,Nepal,Deposit,NPR,Branch,0
TX141,223670.69,2025-05-04,04:39:02,00390363341,00318312331,India,Transfer,NPR,Online,0
TX142,667928.96,2024-10-19,19:10:59,00119213832,00439826521,India,Deposit,NPR,ATM,0
TX143,901983.35,2025-05-26,05:46:17,00468807051,00398384071,Nepal,Deposit,NPR,Online,0
TX144,890048.34,2025-01-21,06:23:03,00142936841,00366684521,Pakistan,Transfer,NPR,ATM,0
TX145,281373.55,2024-10-11,11:37:06,00464910022,00160579342,China,Deposit,NPR,ATM,0
TX146,781770.39,2024-10-14,02:48:09,00129268882,00478665652,Nepal,Transfer,NPR,ATM,0
TX147,262376.59,2025-05-05,03:17:00,00443108892,00373660141,Pakistan,Transfer,NPR,ATM,0
TX148,764124.51,2025-07-22,10:37:32,00194464101,00269875782,Nepal,Transfer,NPR,ATM,0
TX149,564017.99,2024-08-18,01:01:15,00173570711,00455057392,Nepal,Transfer,NPR,Branch,0
TX150,190066.21,2025-04-26,19:07:34,00454337731,00359519881,Nepal,Transfer,NPR,Online,0
TX151,520145.98,2024-12-15,13:07:42,00130677872,00590174912,USA,Cash Withdrawal,NPR,Online,0
TX152,3384.91,2024-11-09,09:33:27,00355586231,00153805031,China,Deposit,NPR,Branch,0
TX153,112033.66,2025-04-10,00:57:28,00261120642,00413084742,USA,Cash Withdrawal,NPR,Online,0
TX154,255146.24,2025-02-04,13:13:25,00131574622,00176694922,Russia,Deposit,NPR,Online,0
TX155,690468.44,2024-11-07,09:06:41,00354078051,00333505662,India,Deposit,NPR,ATM,0
TX156,925848.73,2025-02-21,04:59:56,00451210512,00111049841,Nepal,Deposit,NPR,ATM,0
TX157,635685.09,2025-04-26,21:14:26,00281537211,00522998331,India,Deposit,NPR,Branch,0
TX158,363842.32,2024-11-11,05:29:31,00537613692,00579464572,Pakistan,Deposit,NPR,Online,0
TX159,688406.22,2025-06-09,22:57:58,00543710812,00281699231,India,Transfer,NPR,Branch,0
TX160,200177.57,2025-01-13,10:56:51,00288572132,00129608551,Russia,Transfer,NPR,ATM,0
TX161,244426.6,2025-05-25,13:32:35,00139310091,00156214841,Russia,Transfer,NPR,ATM,0
TX162,403724.08,2024-09-21,17:48:51,00286103412,00198313022,Russia,Deposit,NPR,Online,0
TX163,994098.84,2025-03-09,02:27:01,00515452821,00327781762,Nepal,Transfer,NPR,ATM,0
TX164,530800.94,2025-03-27,09:10:56,00481061671,00325149201,USA,Transfer,NPR,Online,0
TX165,587701.39,2025-07-22,02:41:43,00460312941,00121286291,Pakistan,Cash Withdrawal,NPR,ATM,0
TX166,531132.65,2024-10-17,07:24:18,00321352582,00448373452,Nepal,Transfer,NPR,Branch,0
TX167,633740.0,2024-07-25,19:24:01,00232817511,00545491192,Pakistan,Deposit,NPR,Branch,0
TX168,223370.18,2024-10-02,07:59:29,00587147732,00392684441,Nepal,Deposit,NPR,Online,0
TX169,787168.48,2025-01-22,04:36:40,00326944212,00211136712,Nepal,Deposit,NPR,Branch,0
TX170,425756.14,2025-07-02,22:17:18,00283626111,00272778831,Nepal,Transfer,NPR,ATM,0
TX171,245161.87,2025-07-17,07:29:09,00391458631,00178533442,Pakistan,Deposit,NPR,ATM,0
TX172,946427.36,2025-06-15,09:52:35,00396074692,00454817721,Russia,Transfer,NPR,Online,0
TX173,814238.16,2025-05-28,01:31:35,00531148451,00434128461,Nepal,Transfer,NPR,ATM,0
TX174,431871.87,2025-06-28,01:49:32,00489438271,00214620422,Nepal,Transfer,NPR,Branch,0
TX175,817616.52,2024-10-06,03:06:29,00216405522,00531920321,Pakistan,Cash Withdrawal,NPR,ATM,0
TX176,679204.48,2025-05-04,01:29:03,00432311981,00432024641,Russia,Cash Withdrawal,NPR,ATM,0
TX177,277022.82,2025-01-20,17:29:24,00179054381,00317267462,Pakistan,Transfer,NPR,Online,0
TX178,294924.5,2025-07-04,10:35:25,00287554391,00213991801,India,Transfer,NPR,Online,0
TX179,757305.62,2025-06-24,14:50:01,00472024091,00234727471,Pakistan,Cash Withdrawal,NPR,Online,0
TX180,503840.52,2025-01-10,12:36:21,00484116071,00151206571,China,Transfer,NPR,ATM,0
TX181,646575.66,2025-05-28,19:17:36,00175242542,00382398821,Nepal,Cash Withdrawal,NPR,Branch,0
TX182,926675.64,2025-03-23,14:59:02,00471281742,00130709901,Russia,Cash Withdrawal,NPR,Online,0
TX183,703526.94,2025-06-11,07:23:38,00485767232,00570821391,USA,Deposit,NPR,Online,0
TX184,407698.3,2025-06-30,10:24:37,00497432631,00399035702,India,Deposit,NPR,Branch,0
TX185,772627.52,2025-06-17,18:30:50,00253270972,00341620182,Russia,Transfer,NPR,ATM,0
TX186,251082.71,2025-06-30,07:13:10,00514956422,00582473532,Nepal,Cash Withdrawal,NPR,Online,0
TX187,675488.57,2024-12-27,03:15:21,00290301282,00250795152,USA,Deposit,NPR,ATM,0
TX188,906202.76,2025-03-17,09:54:28,00160931361,00282854842,Nepal,Cash Withdrawal,NPR,Branch,0
TX189,342719.52,2025-06-01,18:38:44,00528928512,00416606191,Russia,Cash Withdrawal,NPR,ATM,0
TX190,562902.19,2025-06-15,06:41:21,00537883952,00260314421,USA,Deposit,NPR,Branch,0
TX191,233789.89,2025-03-08,20:57:31,00264355081,00380658482,Nepal,Deposit,NPR,Online,0
TX192,439867.66,2024-10-24,12:36:04,00540632872,00223347661,Pakistan,Deposit,NPR,ATM,0
TX193,758607.42,2025-02-06,02:52:23,00283048102,00167684902,USA,Transfer,NPR,ATM,0
TX194,267052.28,2025-01-01,06:20:15,00538707341,00198754191,Nepal,Transfer,NPR,Online,0
TX195,496582.22,2024-09-09,18:17:37,00114064672,00582513351,Nepal,Transfer,NPR,Online,0
TX196,812030.83,2024-09-26,17:15:27,00349389561,00160259191,Nepal,Deposit,NPR,Online,0
TX197,555435.73,2024-12-26,04:22:58,00529969111,00111780002,India,Cash Withdrawal,NPR,Online,0
TX198,438214.61,2024-10-04,05:57:55,00194364292,00257632101,China,Transfer,NPR,ATM,0
TX199,2653.72,2025-02-07,04:09:16,00420205261,00196596931,Nepal,Deposit,NPR,Branch,0
TX200,213949.48,2025-05-21,18:36:26,00257489452,00265597132,Nepal,Transfer,NPR,ATM,0
TX201,610984.79,2025-06-27,19:37:09,00122473911,00287378621,Pakistan,Transfer,NPR,Branch,0
TX202,319089.66,2024-11-15,09:58:28,00522096532,00535426161,Pakistan,Transfer,NPR,Online,0
TX203,614757.28,2024-09-08,20:52:39,00392844251,00543778981,Nepal,Cash Withdrawal,NPR,Branch,0
TX204,847977.94,2025-01-07,02:00:48,00475501901,00595688462,China,Deposit,NPR,Branch,0
TX205,234987.47,2025-06-30,08:17:03,00556854912,00258948061,Nepal,Cash Withdrawal,NPR,Branch,0
TX206,676279.73,2025-01-10,08:13:36,00173629942,00123864772,USA,Deposit,NPR,ATM,0
TX207,901788.86,2025-03-19,12:45:49,00368475162,00277363562,Nepal,Cash Withdrawal,NPR,Online,0
TX208,364504.86,2025-05-19,04:37:16,00398384071,00377658601,USA,Cash Withdrawal,NPR,ATM,0
TX209,212267.1,2025-07-12,15:14:57,00599040332,00580701742,India,Deposit,NPR,Online,0
TX210,669671.34,2024-08-27,15:03:40,00456666922,00279172712,Russia,Cash Withdrawal,NPR,Online,0
TX211,990733.15,2024-10-20,17:23:36,00278915241,00232763901,Pakistan,Transfer,NPR,ATM,0
TX212,50888.28,2025-01-23,23:39:17,00585808381,00578802702,Nepal,Transfer,NPR,ATM,0
TX213,928115.15,2025-01-23,16:39:27,00423103462,00442359521,Nepal,Cash Withdrawal,NPR,Online,0
TX214,193759.31,2024-10-02,01:08:27,00531110341,00262326102,Nepal,Cash Withdrawal,NPR,Online,0
TX215,20944.76,2024-11-24,03:58:14,00277799422,00445891172,USA,Transfer,NPR,Branch,0
TX216,376666.56,2024-10-23,02:32:25,00125492961,00146053021,Pakistan,Deposit,NPR,ATM,0
TX217,84713.3,2024-11-23,05:43:32,00257287721,00188564552,Nepal,Transfer,NPR,Online,0
TX218,328207.89,2024-12-09,08:48:18,00596796801,00118212981,USA,Cash Withdrawal,NPR,ATM,0
TX219,384567.07,2025-03-26,03:54:52,00352567342,00554870281,China,Cash Withdrawal,NPR,Online,0
TX220,372784.59,2025-06-10,00:28:40,00386508981,00317438291,Nepal,Deposit,NPR,Online,0
TX221,812889.79,2024-11-15,12:04:12,00226565372,00549378772,Pakistan,Deposit,NPR,ATM,0
TX222,400315.96,2025-01-21,15:06:10,00539511222,00425492021,Nepal,Transfer,NPR,Branch,0
TX223,513942.11,2025-02-21,11:37:46,00529892742,00487627412,Pakistan,Deposit,NPR,ATM,0
TX224,108068.83,2024-12-05,22:12:31,00532472701,00160087922,China,Transfer,NPR,Branch,0
TX225,937683.42,2024-11-16,17:13:15,00433957192,00125867031,Nepal,Cash Withdrawal,NPR,Branch,0
TX226,105387.54,2025-01-28,20:29:57,00447622061,00337105591,India,Cash Withdrawal,NPR,Branch,0
TX227,866592.19,2025-07-03,22:31:07,00340925571,00255224031,China,Transfer,NPR,Branch,0
TX228,208367.11,2024-09-17,21:10:32,00467015951,00355379131,USA,Deposit,NPR,Online,0
TX229,943759.05,2025-04-16,10:05:59,00461247931,00145401182,Nepal,Deposit,NPR,Online,0
TX230,791101.11,2024-10-18,06:22:12,00338954991,00521888251,Nepal,Deposit,NPR,ATM,0
TX231,831416.01,2025-04-15,00:19:39,00533604092,00585905661,Nepal,Deposit,NPR,Branch,0
TX232,919703.42,2024-09-02,01:54:47,00533123482,00385461701,USA,Transfer,NPR,ATM,0
TX233,781663.68,2024-09-10,13:53:38,00131118102,00466419361,China,Cash Withdrawal,NPR,Branch,0
TX234,381651.88,2024-11-08,22:03:51,00497487051,00328259082,USA,Cash Withdrawal,NPR,Online,0
TX235,975208.86,2024-12-31,20:32:47,00371740352,00478665652,India,Deposit,NPR,ATM,0
TX236,964917.04,2024-09-25,08:59:30,00554922822,00242187342,Nepal,Cash Withdrawal,NPR,Online,0
TX237,398995.74,2025-02-05,08:31:04,00510692181,00440276241,Nepal,Cash Withdrawal,NPR,ATM,0
TX238,606245.31,2025-04-07,19:27:33,00238150072,00431607821,China,Deposit,NPR,Branch,0
TX239,271382.66,2025-01-14,17:55:51,00257167261,00235202732,Russia,Cash Withdrawal,NPR,Branch,0
TX240,79657.19,2024-09-22,19:04:42,00245992781,00323330791,USA,Cash Withdrawal,NPR,ATM,0
TX241,582662.76,2025-05-18,17:05:03,00593595052,00118212981,India,Transfer,NPR,Online,0
TX242,334549.4,2025-07-12,12:50:10,00179190672,00296809461,China,Transfer,NPR,Branch,0
TX243,902166.9,2024-07-30,19:59:08,00265131472,00578744902,Nepal,Deposit,NPR,Online,0
TX244,377130.01,2025-05-22,14:29:51,00550447652,00479466682,Russia,Cash Withdrawal,NPR,Branch,0
TX245,955965.29,2025-05-07,17:53:36,00350617562,00286895942,Russia,Deposit,NPR,Online,0
TX246,269609.21,2025-02-19,17:19:50,00566883691,00367308042,Russia,Deposit,NPR,Branch,0
TX247,990168.41,2024-08-07,16:59:15,00236047562,00580105431,Nepal,Deposit,NPR,ATM,0
TX248,766033.56,2024-08-28,10:27:20,00572171472,00421567521,China,Cash Withdrawal,NPR,Branch,0
TX249,986903.04,2025-07-18,12:33:57,00456900292,00170271241,Pakistan,Transfer,NPR,ATM,0
TX250,584127.15,2025-07-01,20:05:19,00420885452,00533604092,Pakistan,Deposit,NPR,Branch,0
TX251,53033.49,2025-03-16,11:51:10,00277453962,00365729752,USA,Cash Withdrawal,NPR,ATM,0
TX252,186339.05,2024-08-05,14:33:33,00385837372,00286895942,China,Cash Withdrawal,NPR,Online,0
TX253,272767.1,2024-10-02,00:53:41,00260314421,00194432152,Nepal,Transfer,NPR,Branch,0
TX254,412023.6,2024-12-11,21:46:40,00566612191,00547793071,USA,Deposit,NPR,Online,0
TX255,827231.92,2025-06-27,11:58:52,00394858752,00536546842,Russia,Deposit,NPR,Online,0
TX256,456428.27,2024-08-21,00:25:59,00543743181,00335972082,Nepal,Deposit,NPR,Online,0
TX257,931585.47,2025-07-07,14:16:41,00564971192,00513863241,China,Transfer,NPR,ATM,0
TX258,168423.24,2025-07-13,05:01:27,00545161171,00480392121,Nepal,Transfer,NPR,Branch,0
TX259,413963.71,2025-02-09,19:51:19,00444379371,00311502381,India,Deposit,NPR,Branch,0
TX260,652208.98,2025-04-07,01:18:16,00587630132,00335375312,Russia,Deposit,NPR,ATM,0
TX261,524.4,2025-07-14,04:31:37,00258832631,00592209781,USA,Cash Withdrawal,NPR,Branch,0
TX262,191470.38,2024-07-23,20:19:07,00432311981,00337785541,Pakistan,Deposit,NPR,Branch,0
TX263,627960.06,2024-10-02,10:02:02,00279045462,00474563751,Russia,Cash Withdrawal,NPR,ATM,0
TX264,773220.34,2025-07-02,04:31:26,00583715242,00155208851,India,Transfer,NPR,ATM,0
TX265,67141.96,2024-12-29,11:49:07,00129062992,00299802221,Nepal,Transfer,NPR,ATM,0
